id,question,answer1_label,answer1_id,answer2_label,answer2_id
1,プログラミングしたことがある,YES,2,NO,33
2,プログラミングは好き,YES,3,NO,22
3,作りたいものがある,YES,4,NO,16
4,作り方の想像がつく,YES,5,NO,8
5,作る時間がある,YES,6,NO,7
6,早速、作ってみよう！,できた,19,,
7,作るものを分解しよう,分解してみた,5,もう分解できない,14
8,作るものを分解してみよう,分解してみた,4,もう分解できない,9
9,AIに作り方を聞いてみよう,解決した,5,解決しない,10
10,作れそうな人を知っている,YES,11,知らない,12
11,作れそうな人に聞いてみよう,解決した,5,解決しない,12
12,ふくっち (@taisukef) にDMして聞いてみよう,解決した,5,解決しない,13
13,重大な課題を見つけちゃったかも！？,気分を変えて他のものに切り替えてみよう,3,,
14,早く作る方法をAIに聞いてみよう,解決した,6,解決しない,15
15,よく寝てリフレッシュしてみよう,解決した,6,解決しない,15
16,友達や家族にあるとうれしいものを聞いてみよう,作りたいものが見つかった,4,見つからない,17
17,SDGsから解決したいものを見つけてみよう,作りたいものが見つかった,4,見つからない,18
18,ゲームをつくってみよう,OK,4,,
19,おめでとう！,見せると喜びそうな人に見せてみよう,20,,
20,新たな作りたいものが見つかった？,見つかった,4,見つからない,21
21,見せると喜びそうな人に見せてみよう,OK,20,,
22,つくりたいものがある,YES,4,NO,23
23,IchigoJam BASICでプログラミングしたことがある,YES,24,NO,25
24,IchigoJamをはんだづけしたことがある,YES,25,NO,26
25,LED1でLEDがつくことを知っている,YES,27,NO,28
26,IchigoJamのはんだづけからすると愛着が湧くかも？,湧いた,25,沸かない,25
27,エルチカ（LEDをチカチカすること）ができる？,YES,,NO,29
28,LED1、エンターでLEDがつくよ,ついた！,27,,
29,1 LED1:WAIT10:LED0:WAIT10:GOTO1 で、エルチカするよ,できた！,30,,
30,書籍やウェブを見ながら、IchigoJamでかんたんなゲームがつくれる,YES,31,NO,32
31,やったね、プログラミングの勉強方法は身についているから、他の言語も同じ調子でやってみよう！,OK!,3,,
32,まずは興味あるIchigoJamミニゲームズや、IchigoJamプリントを打ち込んで遊んでみよう,OK!,30,,
33,IchigoJamを知っている？,YES,24,NO,34
34,IchigoJamは、プログラミングを好きになってもらうために作った入門用国産パソコンです！,OK!,26,,